=== Shared String - Reader-Writer Problem ===
Mode: fair
Readers: 5, Writers: 8, Duration: 8 seconds

[22:43:25.951] [R2] started
[22:43:25.951] [R2] read: "Initial string content."
[22:43:25.951] [R1] started
[22:43:25.951] [R1] read: "Initial string content."
[22:43:25.951] [R3] started
[22:43:25.951] [R3] read: "Initial string content."
[22:43:25.951] [R5] started
[22:43:25.951] [R5] read: "Initial string content."
[22:43:25.951] [W2] started
[22:43:25.951] [W2] wrote: "A"
[22:43:25.951] [R4] started
[22:43:25.951] [R4] read: "A"
[22:43:25.951] [W3] started
[22:43:25.951] [W3] wrote: "A"
[22:43:25.951] [W1] started
[22:43:25.951] [W1] wrote: "A"
[22:43:25.951] [W5] started
[22:43:25.951] [W5] wrote: "A"
[22:43:25.951] [W4] started
[22:43:25.951] [W4] wrote: "A"
[22:43:25.951] [W6] started
[22:43:25.951] [W6] wrote: "A"
[22:43:25.951] [W7] started
[22:43:25.951] [W7] wrote: "A"
[22:43:25.951] [W8] started
[22:43:25.951] [W8] wrote: "A"
[22:43:25.987] [W4] wrote: "Hello World!"
[22:43:25.988] [R4] read: "Hello World!"
[22:43:25.994] [R5] read: "Hello World!"
[22:43:25.996] [R2] read: "Hello World!"
[22:43:26.000] [R1] read: "Hello World!"
[22:43:26.002] [W8] wrote: "Hello World!"
[22:43:26.006] [W6] wrote: "Hello World!"
[22:43:26.011] [R3] read: "Hello World!"
[22:43:26.012] [W5] wrote: "Hello World!"
[22:43:26.012] [W7] wrote: "Hello World!"
[22:43:26.021] [R1] read: "Hello World!"
[22:43:26.023] [R5] read: "Hello World!"
[22:43:26.029] [R4] read: "Hello World!"
[22:43:26.031] [W2] wrote: "Hello World!"
[22:43:26.033] [R2] read: "Hello World!"
[22:43:26.034] [W1] wrote: "Hello World!"
[22:43:26.043] [W3] wrote: "Hello World!"
[22:43:26.044] [R1] read: "Hello World!"
[22:43:26.057] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:26.059] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:26.064] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:43:26.069] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:43:26.072] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:26.080] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:26.080] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:43:26.081] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:26.096] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:26.097] [W7] wrote: "Operating systems manage hardware and software resources."
[22:43:26.099] [R1] read: "Operating systems manage hardware and software resources."
[22:43:26.101] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:26.104] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:26.105] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:43:26.106] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:26.121] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:26.122] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:43:26.122] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:43:26.130] [W4] wrote: "Operating systems manage hardware and software resources."
[22:43:26.133] [R1] read: "Operating systems manage hardware and software resources."
[22:43:26.138] [R4] read: "Operating systems manage hardware and software resources."
[22:43:26.139] [R5] read: "Operating systems manage hardware and software resources."
[22:43:26.144] [W2] wrote: "Operating systems manage hardware and software resources."
[22:43:26.145] [W6] wrote: "Operating systems manage hardware and software resources."
[22:43:26.159] [R3] read: "Operating systems manage hardware and software resources."
[22:43:26.160] [W5] wrote: "Operating systems manage hardware and software resources."
[22:43:26.161] [R1] read: "Operating systems manage hardware and software resources."
[22:43:26.164] [W3] wrote: "Operating systems manage hardware and software resources."
[22:43:26.171] [R5] read: "Operating systems manage hardware and software resources."
[22:43:26.174] [W7] wrote: "X"
